,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,M,"Clavellina, coquito","Shaving brush tree, amapolla tree",Malvaceae,Pseudobombax ellipticum,Arbol mediano,"Irregular, su corona es abierta y de forma variada",18.00 - 20.00 m,12.00 m,Hasta 1.5 m,"Compuestas radiales, ovaladas",Entero,Hojas nuevas son de un color marrón oscuro bastante atractivo y se vuelven verdes cuando envejecen.,"Pétalos largos y enrollados con numerosos estambres sobresalientes unidos en la base, crecen solitarias o en pares",Blancas - rosadas,Diciembre-marzo,Cápsula oblonga o elipsoide,Marron claro,Febrero-Abril,Gris-verdoso,Liso,"Selva baja cauducifolia. Clima cálido, habitat secos y rocosos o suelos pobres y es intolerante a la sombra  ",Sombra parcial,Moderado,Moderado,Caducifolio,Originario desde el sur de México hasta El Salvador y Honduras (3).,"Las flores son fuente importante de alimento para polinizadores. Destacan murciélagos como polinizadores primarios (nocturnos), calandrias, abejas y colibríes en menor medida (1).",Elaboración de objetos artesanales o simplemente como leña. El aceite de las semillas es empleado en la fabricación de artículos de higiene,Planta sagrada para los mayas. Con ella preparaban un brevaje intoxicante utilizado en ceremonias y rituales (2).,Sembrar en tierra con buen drenaje y preferiblemente en terrenos abiertos,No se requiere ,Riego moderado en el invierno y abundante durante el verano.,No necesaria,"Tener cuidado a la podredumbre por exceso de riego, no tiene plagas registradas","Se puede acompañar con plantas de aspecto tropical como palmeras, Plumeria rubra, etc, para dar la impresion de un ecosistema costero",Semillas,"Se recomienda trasplantar directamente al suelo, ya que si esta en una maceta puede ser dañada por la exposicion solar excesiva",Profunda,-,
,,,file:///C:/Users/Administrador/Downloads/Pseudobombax%20ellipticum%20-Kunth-%20Dugand.pdf,http://www1.inecol.edu.mx/publicaciones/resumeness/FLOBA/Flora%2090.pdf,3.https://www.biodiversidad.gob.mx/Difusion/cienciaCiudadana/aurbanos/ficha.php?item=Pseudobombax%20ellipticum,http://biblioteca.inifap.gob.mx:8080/jspui/bitstream/handle/123456789/2868/CATALOGOPLANTACIONES.pdf?sequence=1,1. Eguiarte et.al. 1987. El Nectar y el Polen como Recursos: El Papel Ecologico de los Visitantes a las Flores de Pseudobombax ellipticum (H.B.K.) Dugand. https://www.jstor.org/stable/2388462?seq=1,"2. Zidar & Elisens 2009. Sacred Giants: Depiction of Bombacoideae on Maya Ceramics in Mexico, Guatemala, and Belize. https://link.springer.com/article/10.1007/s12231-009-9079-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Neem, Nim, paraiso de la India, margosa",Neem,Meliaceae,Azadirachta indica,Árbol,Globosa,15.00-20.00 m,7.00-14.00 m,0.30- 1.20 m,"Compuestas, pinnadas, imparipinadas, alternas. Cada foliolo es ovado-lanceolados a lanceolados",Dentado,Verde oscuro,"Las flores aparecen en panículas estrechas y ramificadas. Son pequeñas, corola con 5 pétalos libres, linear-espatulados, aromática",Blancas,Abril-mayo (aunque varía según la sequía del sitio),Drupa parecida a aceituna,Amarillo verdoso,Mayo-agosto,Color gris claro hasta castaño rojizo. ,Agrietada,"En su distribución introducida, la margosa se cultiva desde el nivel del mar hasta una elevación de 1,500 m (1, 54).",Pleno sol,Bajo,Rápido,Perennifolio (solamente pierde sus hojas en condiciones muy extremas),Es originaria de la India  y de Birmania. En México esta especie es cultivada. En su lugar de origen se le encuentra en el bosque tropical caducifolio y bosque tropical subcaducifolio; también se le puede encontrar en zonas áridas,"La polinización se conoce de abejas de miel. Asociación vegetal: Bosques secos perennifolios o caducifolios y espinosos. Las hojas se utilizan como forraje, el fruto es alimento de aves, los frutos son dispersados por aves ","Se utiliza para la reforestación y como cerca viva, es considerada como un excelente mejorador del suelo. La madera se usa para la construcción y leña, se extrae el aceite de la semilla,  en la India es utilizado para la fabricación de jabones, ceras, ungüentos, cosméticos y lubricantes. Tambien como insecticida ",Introducida. Intolerante a la competencia por las gramíneas durante la etapa de plántula ,"Esta especie no es muy exigente en lo referente al tipo de suelo, con excepción a los suelos anegados y con arenas secas profundas. El deshierbe continuo de los pasillos y al interior de los envases que contienen las plantas evitará problemas de competencia por luz, agua y nutrientes; además favorecerá condiciones de sanidad. Es importante tener cuidado con el número de plántulas o estacas que se encuentran en los envases, lo más recomendable es mantener solamente una planta o estaca por envase, la más vigorosa, eliminando las restantes",Poda regular y requerimiento de deshierbado sobre todo en plántulas ,"Cada 2-3 días en verano, y cada 4-5 días el resto del año","Fertilizantes ricos en zinc y potasio. Estacas tratadas con ácido indolbutírico. Durante los meses cálidos es recomendable abonarlo de manera regular con abonos orgánicos, como humus de lombriz o estiércol.","Aunque esta especie tiene pocas plagas ocasionalmente es atacado por insectos del Género Microtermes y Lorantus. Los árboles suelen ser muy resistentes al daño por insectos, debido al repelente natural que contiene, Azadirachtina. Se han reportado insectos como Aonidiella orientalis como la plaga más importante de la especie, en menor medida Pulvinaria maxina. Las ninfas de Helopeltis antonii. Ocacionalmente se ve infestado por especies del género Loranthus; muérdagos como Dendrophtoe falcata y Tapinanthus sp. Psuedocercospora subsessessilis es el hongo mas común que ataca las hojas ","Asociaciones en la India: Albizia amara, Manilkara hexandra, Sapindus emarginata, Tamarindus indica, Acacia leucophloea, A. senegal, A. catechu, Balanites aegyptiaca, Flacourtia indica, Holoptelea integrifolia, Prosopis cineraria, Anogeissus latifolia, Boswellia serrata, Lannea coromandelica, Chloroxylon swietenia","Semilla, acodos, esquejes","Por lo menos un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas",Profundas: Las raíces consisten de una robusta raíz principal y muy desarrolladas raíces laterales.,-,
,,http://www.conafor.gob.mx:8080/documentos/docs/13/889Azadirachta%20indica.pdf,https://www.naturalista.mx/taxa/319135-Azadirachta-indica,https://catalogofloravalleaburra.eia.edu.co/species/66,https://www.arbolesornamentales.es/Azadirachtaindica.htm,http://www.cnf.gob.mx:8090/snif/especies_forestales/detalles.php?tipo_especie=22,file:///C:/Users/Biblio/Downloads/Azadirachtaindica.pdf,https://www.jardineriaon.com/arbol-de-neem.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Guaje, liliaque, peladera, huachi","White leadtree, jumbay, river tamarind, subabul, white propinac",Mimosaceae (1).,Leucaena leucocephala,Àrbol o arbusto (1).,"Redondeado, ligeramente abierta y rala (1)",3.00-6.00 m (hasta 12.00 m) (1).,3.00-6.00 m (hasta 12.00 m),Hasta Dap de 0.25 m (1).,"Hojas compuestas, alternas, bipinnadas, paripinnadas de 0.09-0.25 m de largo (1).",Foliolos con margen entero,Verde grisàceo (1).,"Cabezuelas, con 100 a 180 flores blancas, de 1.2 a 2.5 cm de diámetro; flor de 4.1 a 5.3 mm de largo; pétalos libres; cáliz de 2.3 a 3.1 mm (1).",Blanco,"Florece a lo largo del año dependiendo de la precipitación o disponibilidad del agua (1).
","Vainas oblongas, estipitadas, en capítulos florales de 30 o más vainas, de 11 a 25 cm de largo por 1.2 a 2.3 cm de ancho (1).",Verdes cuando tiernas y cafés cuando maduras (1).,Fructifica a lo largo del año. Los frutos maduran de marzo a abril (1).,Gris-negruzco (1).,Lisa a ligeramente fisurada (rugoso) (1).,"Prospera en ambientes adversos. Se adapta muy bien a las tierras bajas, crece desde sitios secos con 350 mm/año hasta húmedos con 2,300 mm/año y temperatura media anual de 22 a 30 ºC (1).",Pleno sol,Bajo a moderado,"Ràpido (El crecimiento es lento en las primeras etapas de desarrollo de la planta y en sitios donde no hay estación seca bien definida y la precipitación es mayor a 2,500 mm. (1).",Caducifolio o perennifolio (1),"Originaria de América tropical, aparentemente del sur de México (Yucatán). Se extiende de México hasta Nicaragua, incluyendo Guatemala, Honduras y El Salvador. Los españoles la llevaron a Filipinas y desde ahí fue introducida a Indonesia, Malasia, Papua Nueva Guinea y sureste de Asia. Naturalizada pantropical. (1).
",Polinizaciòn entomòfila. Asociación con nódulos. Nódulos fijadores de nitrógeno en las raíces. Simbionte: Rhizobium y/o Bradyrhizobium. Nodula espontáneamente con el rizobium del lugar lo que le permite buena adaptación aún en sitios con factores limitantes (nutrición y disponibilidad de agua). Sus nódulos grandes y prolíficos se encuentran en las raicillas de las capas superficiales y aireadas del suelo (1).,"Aromatizante (flor): Aceites esenciales aromáticos.  Las semillas se utilizan como piezas de joyería en la India, sirve como suministro de colorantes textiles, leña, carbòn, construcciòn rural, forraje de rumiantes. (1).
","Calidad de la planta varia de acuerdo a la regiòn. Efecto tòxico en ingestiòn oral por cerdos (1*).  Buena capacidad competitiva. Fuerte competidora con otros cultivos y/o árboles nativos en situaciones de estrés. Esta planta produce un excelente abono verde o mantillo (1). Se debe tener mucha precisión en las fechas de siembra, poda de las plantas, además de acolchar el piso de las platabandas, esto debido a que el desarrollo del sistema radicular y follaje en esta especie es muy violento (2).","Crece en una amplia variedad de suelos, desde neutros, hasta alcalinos, siempre y cuando sean suelos bien drenados, no compactados ni ácidos. Los mejores resultados se obtienen en suelos con pH de 6.5 a 7.5. Suelos inferiores a 5.5 pH no son recomendables (1).","Es necesario evitar la aparición de gramíneas ya que éstas provocan una fuerte competencia por agua y nutrientes, que limitan el crecimiento de árboles juveniles (2). Para dar forma o si es necesario.",Es conveniente mantenerlas siempre húmedas (2).,La fertilización no es eficiente si hay una deficiencia muy fuerte de Fósforo en el suelo. En suelos ácidos la respuesta es favorable a una fertilización con Calcio y Fósforo (2).,"Daño por insectos (hoja). Su principal plaga es el ataque de un psyllido: Heteropsylla cubana, que se ha dispersado por todo el mundo acabando con varios plantíos. Es atacada por Centrimospis linnelus, picudo del follaje y por hormigas cortadoras Atta sp. (1)","Gliricidia sepium, Acacia pennatula, Guazuma ulmifolia, Swietenia sp., Cedrela sp., Prosopis laevigata, Pithecellobium dulce, Calliandra calothyrsus. Inga sp., Erythrina sp., Albizia lebbeck sp., Leucaena diversifolia, Annona squamosa. (1)","Semillas, brotes o retoños (tocòn), estacas ( baja sobrevivencia y crecimiento lento), injerto de yema. (1)."," La Leucaena leucocephala no debe plantarse arriba de los 900 ó 1,000 m de elevación, es posible que la temperatura se vuelva un factor limitante para su buen desarrollo. Utilizar semilla mejorada para maximizar los rendimientos. El sitio de plantación debe quedar libre de malezas durante los primeros meses de crecimiento para evitar la competencia. El espaciamiento de la plantación varía según el objetivo de la misma. (1).",Profunda y extendida. (1).,LC (Preocupacion menor),
,,1. http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/44-legum26m.pdf,2. http://www.conafor.gob.mx:8080/documentos/docs/13/939Leucaena%20leucocephala.pdf,3. http://www.ganaderialaluna.com/pdf/9mich.pdf,http://www.medicinatradicionalmexicana.unam.mx/monografia.php?l=3&t=Guaje&id=7565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Guamuchil,Monkeypod,Mimosaceae,Pithecellobium dulce,"Arbol o arbusto, espinoso",Piramidal o alargada,15.00 - 20.00 m,30.00 m,0.8- 1,"Compuestas, espiral, aglomeradas, bipinnadas",Foliolos con margen entero,Verde pálido mate,Actinomórficas,Blanco-cremosas o verdes,Noviembre a mayo,Vainas delgadas,Rojizas o rosadas, Marzo a julio -agosto,Gris plomiza a gris morena,Lisa o ligeramente fisurada,"Prospera en terrenos planos u ondulados. Es frecuente a la orilla de cauces de arroyos temporales, de carreteras y avenidas y en las viviendas. Crece en una amplia variedad de condiciones climáticas. Clima entre tropical y subtropical",Sombra parcial,Moderado,Rápido y vigoroso,Perennifolio,"México y el sur de California, hasta Colombia y Venezuela.",Especie Secundaria. Junto con Prosopis laevigata es un componente de una asociación clímax de los llanos de suelo profundo.,"Construcción rural (viviendas) y en general        El arilo carnoso agridulce que rodea a la
semilla es sumamente apreciado en algunos lugares
como complemento alimenticio. Se elaboran bebidas
refrescantes (parecida a la limonada). Semillas
comestibles. La semilla contiene 10 % de aceite
verdoso que se refina y clarifica y 28 % de proteína",Especie de fácil adaptación. Se adapta a casi todo tipo de suelos,"El deshierbe continuo de los pasillos y al interior de los envases que contienen las plantas evitará problemas de competencia por luz, agua y nutrientes; además favorecerá condiciones de sanidad. Es importante tener cuidado con el número de plántulas o estacas que se encuentran en los envases, lo más recomendable es mantener solamente una planta o estaca por envase, la más vigorosa, eliminando las restantes",Para dar forma,"Durante los primeros 30 días el riego debe realizarse dos veces al día (antes de las 7 a.m. y después de las 5 p.m.). Éste se realiza sobre la malla para evitar que el golpeteo de agua exponga las semillas y se deshidraten. A los 2.5 meses de edad solamente se aplicará a las plantas un riego a saturación diariamente. A partir de los 3 meses de edad los riegos se aplicarán alternadamente, entre someros y a saturación, y con uno o dos días sin aplicar agua ","La aplicación de fertilizantes de liberación lenta (picomódulos) es opcional, su efecto solamente será evidente a partir de los 120 días de edad, ya que esta especie presenta nódulos fijadores de nitrógeno activos desde los 26 días de su establecimiento. En caso de utilizar este tipo de fertilizante su aplicación deberá realizarse después de los dos meses de edad de las plantas ",Daño por insectos. Insectos defoliadores y barrenadores.  Daño por hongos. Manchas necróticas. Daño por viento. Debido a que tiene una copa muy pesada y raíces poco profundas los vientos fuertes pueden quebrar sus ramas o derribar el árbol,"Vegetación asociada. Erythroxylon sp., Hura polyandra, Haematoxylon brasileto, Gliricidia sepium, Guaiacum sp., Ficus sp., Annona sp., Prosopis sp., Celtis iguanea, Bursera sp., Swietenia humilis, Byrsonima crassifolia, Enterolobium cyclocarpum, Caesalpinia sp., Ipomoea sp.","Semillas y estructuras vegetativas, estacas","Por lo menos un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas",Profundas: Sistema radical extenso sobre todo en aquellas áreas donde la precipitación es baja,LC (Preocupacion menor),
,,http://www.conafor.gob.mx:8080/documentos/docs/13/984Pithecellobium%20dulce.pdf,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/45-legum38m.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Palo chino,"Mexican ebony, Havardia mexicanum",Mimosaceae ,Pithecellobium mexicanum (Havardia mexicana),Árbol ,"Redondeado, extendido u horizontal",4.00-10.00 m,3.00-6.00 m,DAP de 0.2-0.3 m ,Compuestas,Foliolos con margen entero,Verde oscuro,"Bola, globosa (estambres prominentes)",Crema,Marzo-junio,Vaina,Café,Mayo-julio,Grisáceo,Surcada con espinas,"Crecen en arroyos, laderas del desierto y los valles.",Pleno sol,Bajo,Lento,Caducifolio,Sonora,"Las vainas son consumidas por los animales. Si bien no tiene las flores típicas que los colibríes polinizan, se ha observado que el árbol es visitado y custodiado frecuentemente por el ave. Atrae insectos y sirve como refugio","Construcción de muebles, material para construcción, máscaras ceremoniales, sonajeros, leña (aunque no es muy preferida)",El ébano mexicano proporciona una sombra filtrada que es ideal para promover el crecimiento y la floración de plantaciones inferiores. ,"Mantenimiento mínimo, deja algo de hojarasca",Ocacional. Solo para dar forma,"Los árboles adultos no necesitan casi agua y deben sobrevivir con poca o ninguna irrigación. Sin embargo, los árboles jóvenes necesitan alrededor de 1-2 galones cada 5 semanas ",Agregue fertilizantes cada mes o a largo plazo,Arañas rojas,"Lavatera maritima, Osmanthus fragrans, Rhaphiolepis indica, Rosa floribunda ‘Iceberg’, Armeria maritima, Dianella revoluta ‘Little Rev’, Dianella tasmanica ‘Variegata’, Dietes bicolor,Dietes grandiflora,   Erigeron karvinskianus, Phormium ‘Jack Sprat’, Cerastium tomentosum, Clytostoma callistegioides, Jasminum polyanthum, Rosa floribunda ‘Floral Carpet’, Trachelospermum jasminoides.","Semillas (requiere escarificación), esquejes","Puede agregar bonote o mezcla de siembra, más arena o perlita","Profundas: Sistema radical extenso sobre todo en aquellas áreas donde la precipitación es baja.
",-,
,R,"Uvalama. Taruma, pechiche y en México agüilote (1).",Chaste tree or chastetree (6).,Lamiaceae,Vitex mollis,Árbol ,La forma puede variar desde corona redondeada y amplía a estrecha y compacta (4).,10.00 (4)- 15.00 m (1),6.00-10.00 m (*),Hasta 0.60 m (*).,"Simples, las hojas opuestas, ovadas o elípticas a oblongo-elípticas, pueden ser de 1 1/4 a 6 1/2 pulgadas (3.2-17 cm) de largo y 1 1/2 a 2 3/4 pulgadas (4-7 cm) de ancho, redondeadas o puntiagudas en el ápice, obtusas o puntiagudas en la base, coriáceas, generalmente brillantes en la superficie superior y más o menos marrón o gris-vellosa en la parte inferior (4).
",Entero (*).,Verde claro (*).,"Las flores crecen en racimos,  con un mechón de pelitos y fragantes (1).",Azul-blanco o lila-blanco (1).,Febrero-mayo (4).,Sus frutos son globosos y carnosos (1).,Negro (2).,Junio-julio (4).,Grisáceo o marròn (7).,Agrietado (*).,"Habita en clima cálido y semicálido entre los 300 y los 1600 msnm. Crece a orillas de arroyos y riachuelos, asociado al bosque tropical caducifolio perturbado y bosque de encino (1).",Pleno sol o sombra parcial (*).,Moderado (*).,Lento (4).,Caducifolio (1),"De origen desconocido (1). En México: Baja California Sur, Sonora y Chihuahua, hasta Morelos y Oaxaca (2).","En el árbol entomófilo, Vitex mollis , las aves visitaron solo la parte inferior de  la corona; las partes superiores fueron utilizadas por las abejas territoriales (5).","El fruto se come y es apreciado en muchos lugares. 
En el Estado de México, Guerrero, Michoacán, Morelos y Sonora, es relevante su empleo para contrarrestar los efectos de la picadura de alacrán u otros animales ponzoñosos. Usos medicinales, ornamental (1).
Para diarrea y diversos males digestivos (11).","Esta planta no es tóxica para la salud y, por el contrario, puede servir contra algunos hongos patógenos que provocan la rápida descomposición de los alimentos y en las bacterias causantes de la salmonelosis o estafilococos (3).  La savia se dice que es venenosa (7).",Medio (8).,"Debido a que la floración aparece en un nuevo crecimiento, la muerte en invierno o la poda de regreso al suelo no afectará la floración. A menudo se poda regularmente cerca del suelo a principios de la primavera cada año de la misma manera que también se suele hacer con los mirtos de crape. (8).",2 veces por semana (*).,"Utilizar fertilizantes a finales de invierno o principios de primavera.  Para conservar la humedad durante la temporada de crecimiento y suprimir el crecimiento de malezas, aplique siempre una capa de mantillo de madera curada, desmenuzada o astillada o paja de pino alrededor del árbol a fines del invierno. A medida que el mantillo se descompone, agregará nutrientes vitales el suelo (11).",No hay problemas serios de insectos o enfermedades. La mancha de la hoja y la pudrición de la raíz son problemas ocasionales (8).,"Coreopsis, Gaillardia, Geum, Perovskia, Nepeta, Salvias y Penstemons (10).",Semillas o esquejes (9).,"Se cultiva mejor en suelos sueltos, de humedad media y bien drenados a pleno sol. Plante en lugares protegidos al norte (8)."," Profundas, extendidas. Las raíces a menudo sobreviven al invierno y empujan hasta 4-7 'de nuevo crecimiento el año siguiente (8).",-,
,,1. https://www.naturalista.mx/taxa/210076-Vitex-mollis,2. https://laroussecocina.mx/palabra/uvalama/,3. http://www.udg.mx/es/noticia/analizan-en-cucienega-propiedades-medicinales-de-la-uvalama,4. http://www.tlahui.com/medic/medic31/nanche_perro.htm,5. https://www.jstor.org/stable/2388410?seq=1#page_scan_tab_contents,6. https://en.wikipedia.org/wiki/Vitex,7. https://www.plantsforuse.com/species/lamiaceae-vitex,8. http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g290,9.https://dcmga.com/north-texas-gardening/perennials/master-gardener-favorites/texas-vitex/,10. https://www.houzz.com/discussions/1883608/vitex-companions,11. http://www.tlahui.com/medic/medic31/nanche_perro.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,http://www.aridzonetrees.com/pithecellobium-mexicanum.html,https://cals.arizona.edu/yuma/plant_index/havardia_mexicana.htm,http://www.sunshine-seeds.de/Pithecellobium-mexicanum-54065p.html?language=en,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=829,https://www.desertmuseum.org/programs/alamos_trees_havmex.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"San juanico, Jaquinia",Cudjoewood ,Primulaceae,Jacquinia pungens (Bonellia macrocarpa subsp. pungens),Arbusto o árbol,Redondeada,1.00 - 3.00 m,1.00-3.00 m,0.2 m Dap,"Simples, lanceoladas, elípticas, punta en filo, lisas, alternas a verticiladas",Entero,Verde brillante,Forma de estrella en racimos cortos (panículas terminales),Amarillo - naranja-rojo,"Junio-sep. 
Finales de primavera a finales de verano","Drupa con una pequeña espina en el ápice 1.5 - 2 cm,",Amarillo - Café rojizo,Julio-agosto (Los frutos comienzan a madurar en la mitad de la temporada de lluvias).,Cenizo,Liso,"Selva baja caducifolia, habita en clima semiseco y seco entre Ios 500 y los 700 msnm. Planta silvestre, asociada a matorral xerófilo.",Pleno sol a sombra parcial,Bajo. Tolerante a la sequía,Rápido a moderado,Perennifolio,América central y el Caribe. Costas del Pacífico mexicano desde Sonora hasta Colima (10),"Atrae polinizadores, refugio y alimento para distintas especies silvestres. Especie pionera en procesos de sucesión en ecosistemas tropicales degradados (11).","Su madera se utiliza para la fabricación de mangos de herramientas. Para el tratamiento del dolor de pulmones y sus males (V. pulmonía), se cuece la cáscara del fruto y se toma el cocimiento. La cáscara del fruto o el fruto completo se machaca y se agrega en agua para frotar el cuerpo de la persona con sarna durante dos meses.","Muchas de las especies producen un veneno para peces, por lo que todas las especies deben considerarse venenosas. Plantas se protegen de la herbivoría: compuestos tóxicos en el follaje y hojas con punta de aguja.","Durante los meses de invierno, el agua debe restringirse, pero preste mucha atención para que no se seque por completo por mucho tiempo. ","Poda selectiva. Como las flores tienen un nuevo crecimiento, es mejor podar durante el invierno.",2 o 3 veces por mes,Se fertilizan cada dos semanas durante la temporada de crecimiento con un fertilizante balanceado.,Ninguna,"Como su flor es pequeña y no muy vistosa, se recomienda poner con plantas que creen un contraste de colores",Por esquejes en primavera y por semilla.,Evitar trasplantes frecuentes. El terreno ideal es uno con sustrato fértil. Agrega arena gruesa para un buen drenaje y que no haya encharcamientos,"Mediamente profundas: Raices laterales casi no crecen, no muy profunda, no es preocupante para infraestructuras",-,
,,http://www.medicinatradicionalmexicana.unam.mx/monografia.php?l=3&t=&id=7478,https://davesgarden.com/guides/pf/go/144161/#b,https://tuckergreenhouse.missouri.edu/cudjoewood-or-jaquinia-pungens-shrub-is-blooming/,http://www.esacademic.com/dic.nsf/eswiki/625823,http://www.plantoftheweek.org/week261.shtml,,http://unibio.unam.mx/irekani/handle/123456789/54181?proyecto=Irekani,http://www.medicinatradicionalmexicana.unam.mx/flora2.php?l=4&po=mayo&te=Taziiro&id=5145&clave_region=12,http://ibonsaiclub.forumotion.com/t4100-help-identify-jacquinia,http://www.phytoimages.siu.edu/imgs/paraman1/r/Theophrastaceae_Jacquinia_pungens_11344.html,,http://www1.inecol.edu.mx/publicaciones/resumeness/FLOVER/103-Castillo.pdf (10),,,https://www.uv.mx/met/files/2015/11/JuarezFragsoMauricioArturo-Agosto2014.pdf (11),,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Amole, pipe, Jaboncillo, Chumbimbo"," Soapberry, wingleaf soapberry or winged soapberry",Sapindaceae,Sapindus saponaria L.,Árbol,Redondeada,20.00-30.00 m,Hasta 14.00 m,Hasta 0.60 m dap,"Compuestas:  La hojas son alternas, pinnadas y miden de 9-50 cm de largo",Liso u ondulado acabados en punta,Verde brillante,"Pequeñas (5 pétalos). Panículas terminales. Los grupos de flores son panículas laterales, de 15-45 cm de largo con numerosas flores pequeñas",Blanco,Mayo-junio,"Frutos globosos, solitarios o en grupos, de 1 cm de diámetro, con cáscara dura y lisa (5).",Verde a amarillo o café al madurar,Septiembre-octubre,Café grisáceo,Rugoso,"Barrancos de las praderas, los márgenes de los bosques, los bordes de los campos o en las laderas rocosas. ",Pleno sol a sombra parcial,Bajo a moderado,Moderado,Perennifolio,Desde el sur de EE.UU. y México hasta Argentina.,Proporciona alimento para algunas especies nativas de animales. Las aves contribuyen en la dispersión de las semillas. Estupefacientes para peces.," Los frutos del jaboncillo tienen mucha saponina, utilizándose en el pasado como jabón para lavar la ropa. La corteza tiene usos locales en medicina, y su madera se emplea como leña y en algunos trabajos de carpintería. Barrera rompevientos, Sombrío, Restauración ecológica","Las semillas son tóxicas. Ubicación lejos de las áreas donde es probable que los niños pequeños se congreguen, como alrededor de las escuelas, los parques y los patios de recreo.",Poco mantenimiento,"Para uso en la calle o de otro tipo donde se desea un solo tronco, es probable que sea necesario quitar los troncos laterales competidores o las ramas basales verticales",Solo buen riego en verano (sin encharcamientos).,Uso juicioso de fertilizantes orgánicos o de liberación controlada ,"No hay problemas serios de insectos o enfermedades, aunque su fruto atrae al insecto del boxelder.  Además, los ácaros a veces atacan a los árboles en California, reduciendo el color y el brillo de las hojas, pero sin dañar el árbol. En algunas áreas puede aparecer moho polvoriento, tizón foliar y mancha foliar.","Carya texana, Cotinus obovatus, Ptelea trifoliata",Semilla o esqueje. La especie presenta buen rebrote por lo que puede propagarse mediante pseudoestacas o a raíz desnuda,"Para el trasplante tiene una amplia gama de suelos, incluidos los que son secos, pedregosos o deficientes en nutrientes. Las plantitas requieren alcanzar unos 30- 35 cm de altura antes de ser llevadas al campo, y normalmente requieren de dos a cuatro meses en el vivero para alcanzar este estado.",Superficiales: Las raíces superficiales generalmente no son un problema,-,
,,http://www.medicinatradicionalmexicana.unam.mx/monografia.php?l=3&t=&id=7109,https://www.arbolesornamentales.es/Sapindussaponaria.htm,https://catalogofloravalleaburra.eia.edu.co/species/154,http://www.riomoros.com/2017/05/jaboncillo-sapindus-saponaria.html,5. https://www.biodiversidad.gob.mx/Difusion/cienciaCiudadana/aurbanos/ficha.php?item=Sapindus%20saponaria,,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286817&isprofile=0&cv,http://tropical.theferns.info/viewtropical.php?id=Sapindus+saponaria,http://ucanr.edu/sites/HodelPalmsTrees/files/186125.pdf,file:///C:/Users/Biblio/Downloads/sapindus_saponaria.pdf,,https://books.google.com.mx/books?id=AdSXd1p1dEYC&pg=PA196&lpg=PA196&dq=sapindus+saponaria+companion+plants&source=bl&ots=wioawFlYe_&sig=NyNgZtzvHSqqrPEKG0OFPScSsV4&hl=es&sa=X&ved=2ahUKEwjuhruc2JHdAhWymIsKHYPqDQAQ6AEwDXoECAQQAQ#v=onepage&q&f=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
